コンピュータ名,型番,製造番号,IPアドレス,サブネットマスク,ゲートウェイ,DNS1,DNS2,物理メモリ,PointSec,フォルダ確認
S01,PC-M1U47LZGHHZS,62003641A,192.168.11.101,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F2:59:EC,
S02,PC-M1U47LZGHHZS,62003831A,192.168.11.102,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F2:7B:1C,
S03,PC-M1U47LZGHHZS,62004801A,192.168.11.103,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F1:3A:24,
S04,PC-M1U47LZGHHZS,62002091A,192.168.11.104,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F1:2D:F3,
S05,PC-M1U47LZGHHZS,62003621A,192.168.11.105,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F2:5C:1B,
S06,PC-M1U47LZGHHZS,62003481A,192.168.11.106,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F1:30:88,
S07,PC-M1U47LZGHHZS,62002481A,192.168.11.107,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F0:CC:E6,
S08,PC-M1U47LZGHHZS,62002411A,192.168.11.108,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F1:32:06,
S09,PC-M1U47LZGHHZS,62002371A,192.168.11.109,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F1:2E:FD,
S10,PC-M1U47LZGHHZS,62003111A,192.168.11.110,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F1:2D:90,
S11,PC-M1U47LZGHHZS,62004911A,192.168.11.111,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F2:7B:D6,
S12,PC-M1U47LZGHHZS,62003811A,192.168.11.112,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F2:79:15,
S13,PC-M1U47LZGHHZS,62004941A,192.168.11.113,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F2:5D:0F,
S14,PC-M1U47LZGHHZS,62004891A,192.168.11.114,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F1:22:D8,
S15,PC-M1U47LZGHHZS,62003451A,192.168.11.115,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F1:2E:91,
S16,PC-M1U47LZGHHZS,62005011A,192.168.11.116,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F1:3A:21,
S17,PC-M1U47LZGHHZS,62003361A,192.168.11.117,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F1:31:16,
S18,PC-M1U47LZGHHZS,62004951A,192.168.11.118,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F2:5C:1F,
S19,PC-M1U47LZGHHZS,62003791A,192.168.11.119,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F2:5D:21,
S20,PC-M1U47LZGHHZS,62003651A,192.168.11.120,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F2:59:ED,
S21,PC-M1U47LZGHHZS,62004791A,192.168.11.121,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F2:43:B0,
S22,PC-M1U47LZGHHZS,62004931A,192.168.11.122,,,,,15998MB,×,,イーサネットMacアドレス: 88:AE:DD:F2:5D:87,
