"DisplayName","Publisher","DisplayVersion","InstallLocation"
"Actiphy ActiveImage Protector","Actiphy, Inc.","7.7.0.9999",
"Agentless Management Service","Hewlett Packard Enterprise Development LP","4.60.0.0","C:\Program Files\OEM\AMS\Service"
"HPE Lights-Out オンライン設定ユーティリティ","Hewlett Packard Enterprise","6.0.0.0",""
"HPE MR Storage Administrator","Hewlett Packard Enterprise Development LP","008.012.052.000","C:\Program Files\HPEMRSA\LSIStorageAuthority\"
"HPE MR Storage Administrator StorCLI","Hewlett Packard Enterprise","7.3212.0.0",""
"i-FILTER Reporter Ver.10","Digital Arts Inc.","25.00.0000","C:\Program Files\Digital Arts\i-FILTER Reporter Ver.10\"
"i-FILTER Ver.10","Digital Arts Inc.","38.00.0000","C:\Program Files\Digital Arts\i-FILTER Proxy Server Ver.10\"
"Integrated Smart Update Tools for Windows","Hewlett Packard Enterprise","6.5.0.0","C:\Program Files\\SUT"
"Microsoft Command Line Utilities 13 for SQL Server","Microsoft Corporation","13.0.1601.5",""
"Microsoft Edge","Microsoft Corporation","147.0.3912.72","C:\Program Files (x86)\Microsoft\Edge\Application"
"Microsoft Edge WebView2 Runtime","Microsoft Corporation","147.0.3912.72","C:\Program Files (x86)\Microsoft\EdgeWebView\Application"
"Microsoft ODBC Driver 13 for SQL Server","Microsoft Corporation","14.0.1000.169",""
"Microsoft SQL Server 2012 Command Line Utilities ","Microsoft Corporation","11.3.6020.0",""
"Microsoft SQL Server 2012 Native Client ","Microsoft Corporation","11.4.7001.0",""
"Microsoft SQL Server 2014 Transact-SQL ScriptDom ","Microsoft Corporation","12.0.2000.8",""
"Microsoft SQL Server 2014 Transact-SQL ScriptDom ","Microsoft Corporation","12.0.2000.8",""
"Microsoft SQL Server 2016 T-SQL ScriptDom ","Microsoft Corporation","13.0.1601.5",""
"Microsoft SQL Server 2016 T-SQL ScriptDom ","Microsoft Corporation","13.0.1601.5",""
"Microsoft SQL Server 2017 (64 ビット)","Microsoft Corporation",,
"Microsoft SQL Server 2017 T-SQL 言語サービス","Microsoft Corporation","14.0.1000.169",""
"Microsoft SQL Server 2017 セットアップ (日本語)","Microsoft Corporation","14.0.1000.169",""
"Microsoft SQL Server Data-Tier Application Framework (x64) - ja-JP","Microsoft Corporation","15.0.4384.2",""
"Microsoft SQL Server Data-Tier Application Framework (x86) - ja-JP","Microsoft Corporation","15.0.4384.2",""
"Microsoft System CLR Types for SQL Server 2014","Microsoft Corporation","12.0.2402.11",""
"Microsoft System CLR Types for SQL Server 2016","Microsoft Corporation","13.0.1601.5",""
"Microsoft System CLR Types for SQL Server 2016","Microsoft Corporation","13.0.1601.5",""
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030","Microsoft Corporation","11.0.61030.0",
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030","Microsoft Corporation","11.0.61030.0",
"Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.27.29112","Microsoft Corporation","14.27.29112.0",
"Microsoft Visual C++ v14 Redistributable (x64) - 14.50.35710","Microsoft Corporation","14.50.35710.0",
"Microsoft VSS Writer for SQL Server 2017","Microsoft Corporation","14.0.1000.169",""
"SQL Server 2017 用 Browser","Microsoft Corporation","14.0.1000.169",""
"Systemwalker Desktop Restore サーバ機能","Fujitsu Limited","16.11.12","C:\Program Files (x86)\Syunkai Product\"
"Systemwalker Desktop Restore 管理コンソール機能","Fujitsu Limited","16.11.12","C:\Program Files (x86)\Syunkai Product\"
"TeamViewer","TeamViewer","15.76.5","C:\Program Files\TeamViewer"
"Trend Micro Apex One","Trend Micro Inc.","14.0.14136","C:\Program Files (x86)\Trend Micro\Apex One\PCCSRV"
"Trend Micro Apex Oneセキュリティエージェント","Trend Micro Inc.","14.0.14136",
