パス,名前,種類,アクセス許可,継承,適用先
"C:\cpqsystem","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、サブフォルダ、 ファイル"
"C:\cpqsystem","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、サブフォルダ、 ファイル"
"C:\cpqsystem","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、サブフォルダ、 ファイル"
"C:\cpqsystem","BUILTIN\Users","AppendData","許可","True","このフォルダ、サブフォルダ"
"C:\cpqsystem","BUILTIN\Users","CreateFiles","許可","True","このフォルダ、サブフォルダ"
"C:\cpqsystem","CREATOR OWNER","フル コントロール","許可","True","サブフォルダ、 ファイル"
"C:\inetpub","CREATOR OWNER","フル コントロール","許可","False","サブフォルダ、 ファイル"
"C:\inetpub","NT AUTHORITY\SYSTEM","フル コントロール","許可","False","サブフォルダ、 ファイル"
"C:\inetpub","NT AUTHORITY\SYSTEM","フル コントロール","許可","False","このフォルダ、"
"C:\inetpub","BUILTIN\Administrators","フル コントロール","許可","False","サブフォルダ、 ファイル"
"C:\inetpub","BUILTIN\Administrators","フル コントロール","許可","False","このフォルダ、"
"C:\inetpub","BUILTIN\Users","読み取りと実行","許可","False","サブフォルダ、 ファイル"
"C:\inetpub","BUILTIN\Users","読み取りと実行","許可","False","このフォルダ、"
"C:\inetpub","NT SERVICE\TrustedInstaller","フル コントロール","許可","False","サブフォルダ、 ファイル"
"C:\inetpub","NT SERVICE\TrustedInstaller","フル コントロール","許可","False","このフォルダ、"
"C:\NB","NT AUTHORITY\SYSTEM","フル コントロール","許可","True","このフォルダ、サブフォルダ、 ファイル"
"C:\NB","BUILTIN\Administrators","フル コントロール","許可","True","このフォルダ、サブフォルダ、 ファイル"
"C:\NB","BUILTIN\Users","読み取りと実行","許可","True","このフォルダ、サブフォルダ、 ファイル"
"C:\NB","BUILTIN\Users","AppendData","許可","True","このフォルダ、サブフォルダ"
"C:\NB","BUILTIN\Users","CreateFiles","許可","True","このフォルダ、サブフォルダ"
"C:\NB","CREATOR OWNER","フル コントロール","許可","True","サブフォルダ、 ファイル"
"C:\PerfLogs","NT AUTHORITY\SYSTEM","フル コントロール","許可","False","このフォルダ、サブフォルダ、 ファイル"
"C:\PerfLogs","BUILTIN\Administrators","フル コントロール","許可","False","このフォルダ、サブフォルダ、 ファイル"
"C:\PerfLogs","BUILTIN\Performance Log Users","CreateFiles, AppendData, ReadAndExecute, Synchronize","許可","False","このフォルダ、ファイル"
"C:\Program Files","CREATOR OWNER","フル コントロール","許可","False","サブフォルダ、 ファイル"
"C:\Program Files","NT AUTHORITY\SYSTEM","フル コントロール","許可","False","サブフォルダ、 ファイル"
"C:\Program Files","NT AUTHORITY\SYSTEM","変更","許可","False","このフォルダ、"
