名前,フルネーム,説明,オプション
Administrator,,コンピューター/ドメインの管理用 (ビルトイン アカウント),パスワードを無期限にする
Guest,,コンピューター/ドメインへのゲスト アクセス用 (ビルトイン アカウント),パスワードを無期限にする/アカウントを無効にする
krbtgt,,キー配布センター サービス アカウント,アカウントを無効にする
S01,,,パスワードを無期限にする
S02,,,パスワードを無期限にする
S03,,,パスワードを無期限にする
S04,,,パスワードを無期限にする
S05,,,パスワードを無期限にする
S06,,,パスワードを無期限にする
S07,,,パスワードを無期限にする
S08,,,パスワードを無期限にする
S09,,,パスワードを無期限にする
S10,,,パスワードを無期限にする
S11,,,パスワードを無期限にする
S12,,,パスワードを無期限にする
S13,,,パスワードを無期限にする
S14,,,パスワードを無期限にする
S15,,,パスワードを無期限にする
S16,,,パスワードを無期限にする
S17,,,パスワードを無期限にする
S18,,,パスワードを無期限にする
S19,,,パスワードを無期限にする
S20,,,パスワードを無期限にする
S21,,,パスワードを無期限にする
S22,,,パスワードを無期限にする
S23,,,パスワードを無期限にする
S24,,,パスワードを無期限にする
S25,,,パスワードを無期限にする
S26,,,パスワードを無期限にする
S27,,,パスワードを無期限にする
S28,,,パスワードを無期限にする
S29,,,パスワードを無期限にする
S30,,,パスワードを無期限にする
S31,,,パスワードを無期限にする
S32,,,パスワードを無期限にする
S33,,,パスワードを無期限にする
S34,,,パスワードを無期限にする
S35,,,パスワードを無期限にする
S36,,,パスワードを無期限にする
S37,,,パスワードを無期限にする
S38,,,パスワードを無期限にする
S39,,,パスワードを無期限にする
S40,,,パスワードを無期限にする
teacher,,,パスワードを無期限にする
test01,,,パスワードを無期限にする
test02,,,パスワードを無期限にする
test03,,,パスワードを無期限にする
test04,,,パスワードを無期限にする
test05,,,パスワードを無期限にする
test06,,,パスワードを無期限にする
test07,,,パスワードを無期限にする
test08,,,パスワードを無期限にする
test09,,,パスワードを無期限にする
test10,,,パスワードを無期限にする
TM_OSCE_SERVER,トレンドマイクロのリモートUNCパスのアクセスアカウント,このアカウントは、リモートUNCパスへのデータベースのバックアップ、およびリモートUNCパスからのデータベースのアップデートに使用されます。,パスワードを無期限にする
