"DisplayName","StartMode","StartName","Description"
"Active Directory Web Services","Auto","LocalSystem","このサービスは、このサーバー上でローカルに実行されるディレクトリ サービス (AD DS および AD LDS) のインスタンスに対して Web サービス インターフェイスを提供します。このサービスが停止または無効にされると、Active Directory PowerShell などのクライアント アプリケーションは、このサーバー上でローカルに実行されている任意のディレクトリ サービス インスタンスにアクセスしたり、これを管理することはできません。"
"ActiveImage Protector Service","Auto","LocalSystem","Manages ActiveImage Protector."
"AllJoyn Router Service","Manual","NT AUTHORITY\LocalService","ローカル AllJoyn クライアントの AllJoyn メッセージをルーティングします。このサービスが停止している場合、バンドルされた独自のルーターを持たない AllJoyn クライアントは実行することができなくなります。"
"Application Layer Gateway Service","Manual","NT AUTHORITY\LocalService","インターネット接続共有に使用する、サード パーティのプロトコル プラグイン用のサポートを提供します。"
"Agentless Management Service","Auto","LocalSystem","Provides out of band management system with OS-level Agentless Management information and Active Health System events."
"Application Host Helper Service","Auto","localSystem"," IIS に構成履歴やアプリケーション プール アカウントのマッピングなどの管理サービスを提供します。このサービスが停止されると、構成履歴およびアプリケーション プール固有のアクセス制御エントリを使用したファイルやディレクトリの制限が機能しなくなります。"
"Application Identity","Manual","NT Authority\LocalService","アプリケーションの ID を判定および検証します。このサービスを無効にすると、AppLocker が適用されなくなります。"
"Application Information","Manual","LocalSystem","追加の管理者特権による対話型アプリケーションの実行を容易にします。このサービスが停止されると、ユーザー タスクの実行に必要となる可能性のある追加の管理者特権でアプリケーションを起動することはできません。"
"Application Management","Manual","LocalSystem","グループ ポリシーで展開されるソフトウェアに対する、プロセスのインストール、削除および列挙の要求です。サービスが無効な場合、ユーザーはグループ ポリシーで展開されるソフトウェアをインストール、削除または列挙することができません。また、明示的にこのサービスに依存しているサービスを開始することもできません。"
"App Readiness","Manual","LocalSystem","ユーザーがこの PC に初めてサインインしたときや新しいアプリを追加したときにアプリを使用できるよう準備します。"
"Microsoft App-V Client","Disabled","LocalSystem","Manages App-V users and virtual applications"
"AppX Deployment Service (AppXSVC)","Manual","LocalSystem","Microsoft Store アプリケーションを展開するためのインフラストラクチャ サポートを提供します。このサービスはオンデマンドで開始されます。無効にすると、Microsoft Store アプリケーションはシステムに展開されなくなり、正しく動作しない可能性があります。"
"ASP.NET State Service","Manual","NT AUTHORITY\NetworkService","Provides support for out-of-process session states for ASP.NET. If this service is stopped, out-of-process requests will not be processed. If this service is disabled, any services that explicitly depend on it will fail to start."
