"DisplayName","Publisher","DisplayVersion","InstallLocation"
"Adobe Acrobat","Adobe Systems Incorporated","26.001.21431","C:\Program Files (x86)\Adobe\Acrobat DC\"
"Adobe Acrobat Reader MUI","Adobe Systems Incorporated","25.001.21223","C:\Program Files (x86)\Adobe\Acrobat Reader DC\"
"Adobe After Effects 2026","Adobe Inc.","26.2","C:\Program Files\Adobe"
"Adobe Animate 2024","Adobe Inc.","24.0.13","C:\Program Files\Adobe\Adobe Animate 2024"
"Adobe Audition 2026","Adobe Inc.","26.0","C:\Program Files\Adobe"
"Adobe Bridge 2026","Adobe Inc.","16.0.3","C:\Program Files\Adobe\Adobe Bridge 2026"
"Adobe Character Animator 2026","Adobe Inc.","26.0","C:\Program Files\Adobe"
"Adobe Dreamweaver 2021","Adobe Inc.","21.7","C:\Program Files\Adobe\Adobe Dreamweaver 2021"
"Adobe Illustrator 2026","Adobe Inc.","30.3","C:\Program Files\Adobe\Adobe Illustrator 2026"
"Adobe InCopy 2026","Adobe Inc.","21.3","C:\Program Files\Adobe"
"Adobe InDesign 2026","Adobe Inc.","21.3","C:\Program Files\Adobe"
"Adobe Lightroom Classic","Adobe Inc.","15.3","C:\Program Files\Adobe"
"Adobe Media Encoder 2026","Adobe Inc.","26.2","C:\Program Files\Adobe"
"Adobe Photoshop 2026","Adobe Inc.","27.5.0.13","C:\Program Files\Adobe\Adobe Photoshop 2026"
"Adobe Premiere Pro 2026","Adobe Inc.","26.2","C:\Program Files\Adobe"
"Adobe Substance 3D Designer","Adobe Inc.","16.0.0","C:\Program Files\Adobe\Adobe Substance 3D Designer"
"Adobe Substance 3D Modeler","Adobe Inc.","1.22.7","C:\Program Files\Adobe\Adobe Substance 3D Modeler"
"Adobe Substance 3D Painter","Adobe Inc.","12.0.2","C:\Program Files\Adobe\Adobe Substance 3D Painter"
"Adobe Substance 3D Sampler","Adobe Inc.","5.1.3","C:\Program Files\Adobe\Adobe Substance 3D Sampler"
"Adobe Substance 3D Stager","Adobe Inc.","3.1.8","C:\Program Files\Adobe\Adobe Substance 3D Stager"
"EasyCall","NBDENSHI","1.0.0",""
"EPSON LP-S3290 プリンター アンインストール","Seiko Epson Corporation",,
"EPSON LP-S7180 プリンター アンインストール","Seiko Epson Corporation",,
"EPSON PX-S6010 Series プリンター アンインストール","Seiko Epson Corporation",,
"EPSON PX-S6710T Series プリンター アンインストール","Seiko Epson Corporation",,
"Epson Scan 2","Seiko Epson Corporation",,
"EpsonNet Print","Seiko Epson Corporation","3.3.1.0",""
"Google Chrome","Google LLC","147.0.7727.101","C:\Program Files\Google\Chrome\Application"
"LoggingManager PC監視ツール","日米電子株式会社","1.00.0000","C:\Program Files (x86)\NBDENSHI\ECO\Client\"
"Microsoft .NET Runtime - 5.0.14 (x64)","Microsoft Corporation","5.0.14.30907",
"Microsoft Edge","Microsoft Corporation","147.0.3912.72","C:\Program Files (x86)\Microsoft\Edge\Application"
"Microsoft Office LTSC Professional Plus 2024 - ja-jp","Microsoft Corporation","16.0.17932.20700","C:\Program Files\Microsoft Office"
"Microsoft OneDrive","Microsoft Corporation","26.062.0402.0002",
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810","Microsoft Corporation","14.40.33810.0",
"Microsoft Windows Desktop Runtime - 5.0.13 (x64)","Microsoft Corporation","5.0.13.30717",
"Microsoft Windows Desktop Runtime - 8.0.4 (x64)","Microsoft Corporation","8.0.4.33519",
"Node.js","Node.js Foundation","16.13.2",""
"Realtek Audio Driver","Realtek Semiconductor Corp.","6.0.9700.1","C:\Program Files (x86)\Realtek\Audio\Drivers"
"SRⅣコントロールソフト","日米電子株式会社","3.06.0000","C:\Program Files (x86)\NBDENSHI\SR4\"
"SRⅣ先生及び生徒端末ソフト","日米電子株式会社","3.15.0000","C:\Program Files (x86)\NBDENSHI\SRT\"
"SRログビューア","日米電子株式会社","1.00.0000","C:\Program Files (x86)\NBDENSHI\ECO\Manager\"
"Trend Micro Apex Oneセキュリティエージェント","Trend Micro Inc.","14.0.14136",
"USB Mouse High-Speed Scrolling Driverutility","Chicony","1.04.001","C:\Program Files (x86)\HyperScrollUtility\"
"UXP WebView Support","Adobe Inc.","1.6.1","C:\Program Files\Common Files\Adobe\Microsoft\EdgeWebView"
"VLC media player","VideoLAN","3.0.21","C:\Program Files\VideoLAN\VLC"
"ソースネクスト アップデート 4.0","SOURCENEXT","16.00.0005","C:\Program Files (x86)\SOURCENEXT\ソースネクスト アップデート4\"
"マークシート読取君5 5.0.0","マグノリア",,"C:\Program Files (x86)\MRead5\"
"読取革命Ver.17","SOURCENEXT","17.00.0000","C:\Program Files (x86)\SOURCENEXT\YomikakuV17\"
