名前,グループ,プロファイル,有効,規則,操作,プログラム,ローカルIP,リモートIP,ローカルアドレス,リモートアドレス,プロトコル,ローカルポート,リモートポート
BzAgent,,"ドメイン, プライベート, パブリック",有効,受信,許可,C:\Program Files (x86)\Syunkai Product\Agent\BzAgent.exe,任意,任意,任意,任意,任意,任意,任意
DcRdSvr,,"ドメイン, プライベート, パブリック",有効,受信,許可,C:\Program Files (x86)\Syunkai Product\Agent\DCPRG\DcRdSvr.exe,任意,任意,任意,任意,任意,任意,任意
DcSkcServe,,"ドメイン, プライベート, パブリック",有効,受信,許可,C:\Program Files (x86)\Syunkai Product\Agent\DCPRG\DcSkcServer.exe,任意,任意,任意,任意,任意,任意,任意
LoggingManager PC監視ツール,,"すべて",有効,受信,許可,C:\Program Files (x86)\NBDENSHI\ECO\Client\LogClient.exe,任意,任意,任意,任意,任意,任意,任意
LoggingManager ログ情報閲覧ツール,,"すべて",有効,受信,許可,C:\Program Files (x86)\NBDENSHI\ECO\Manager\LogManager.exe,任意,任意,任意,任意,任意,任意,任意
Microsoft Lync,,"パブリック",有効,受信,許可,C:\Program Files\Microsoft Office\root\Office16\Lync.exe,任意,任意,任意,任意,UDP,任意,任意
Microsoft Lync,,"パブリック",有効,受信,許可,C:\Program Files\Microsoft Office\root\Office16\Lync.exe,任意,任意,任意,任意,TCP,任意,任意
Microsoft Lync UcMapi,,"パブリック",有効,受信,許可,C:\Program Files\Microsoft Office\root\Office16\UcMapi.exe,任意,任意,任意,任意,TCP,任意,任意
Microsoft Lync UcMapi,,"パブリック",有効,受信,許可,C:\Program Files\Microsoft Office\root\Office16\UcMapi.exe,任意,任意,任意,任意,UDP,任意,任意
Microsoft Office Outlook,,"パブリック",有効,受信,許可,C:\Program Files\Microsoft Office\root\Office16\outlook.exe,任意,任意,任意,任意,UDP,6004,任意
NodeJs,,"すべて",有効,受信,許可,C:\Program Files\nodejs\node.exe,任意,任意,任意,任意,任意,任意,任意
rdViewer,,"ドメイン, プライベート, パブリック",有効,受信,許可,C:\Program Files (x86)\Syunkai Product\Agent\DCPRG\rdViewer.exe,任意,任意,任意,任意,任意,任意,任意
SRⅣ-コントロール-コントロールソフト,,"すべて",有効,受信,許可,C:\Program Files (x86)\NBDENSHI\SR4\SR.exe,任意,任意,任意,任意,任意,任意,任意
SRⅣ-コントロール-ファイル送受信ソフト,,"すべて",有効,受信,許可,C:\Program Files (x86)\NBDENSHI\NBFT\NBFT2008.exe,任意,任意,任意,任意,任意,任意,任意
SRⅣ-コントロール-動画ファイル配信ソフト,,"すべて",有効,受信,許可,C:\Program Files (x86)\NBDENSHI\SR4\MVFT.exe,任意,任意,任意,任意,任意,任意,任意
SRⅣ-生徒端末-サービス,,"すべて",有効,受信,許可,C:\Program Files (x86)\NBDENSHI\SRT\SRNT3.exe,任意,任意,任意,任意,任意,任意,任意
SRⅣ-生徒端末-ファイル送受信ソフト,,"すべて",有効,受信,許可,C:\Program Files (x86)\NBDENSHI\NBFT\NBFT2008.exe,任意,任意,任意,任意,任意,任意,任意
SRⅣ-生徒端末-画像表示ソフト,,"すべて",有効,受信,許可,C:\Program Files (x86)\NBDENSHI\SRT\SRV3.exe,任意,任意,任意,任意,任意,任意,任意
SRⅣ-生徒端末-端末ソフト,,"すべて",有効,受信,許可,C:\Program Files (x86)\NBDENSHI\SRT\SRT3.exe,任意,任意,任意,任意,任意,任意,任意
SRⅣ-生徒端末-動画ファイル配信ソフト,,"すべて",有効,受信,許可,C:\Program Files (x86)\NBDENSHI\SRT\MVFT.exe,任意,任意,任意,任意,任意,任意,任意
Trend Micro Apex One Listener,,"すべて",有効,受信,許可,任意,任意,任意,任意,任意,TCP,21112,任意
レポート管理アプリ,,"すべて",有効,受信,許可,C:\Program Files (x86)\NBDENSHI\ReportApp\ReportManageApp\ReportManageApp.exe,任意,任意,任意,任意,任意,任意,任意
レポート提出アプリ,,"すべて",有効,受信,許可,C:\Program Files (x86)\NBDENSHI\ReportApp\ReportSubmitApp\ReportSubmitApp.exe,任意,任意,任意,任意,任意,任意,任意
読取革命V17,,"プライベート, パブリック",有効,受信,許可,C:\Program Files (x86)\SOURCENEXT\YomikakuV17\Yomikaku.exe,任意,任意,任意,任意,任意,任意,任意
@{Microsoft.StorePurchaseApp_22312.1400.6.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.StorePurchaseApp/Resources/DisplayTitle},@{Microsoft.StorePurchaseApp_22312.1400.6.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.StorePurchaseApp/Resources/DisplayTitle},"ドメイン, プライベート",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
@{Microsoft.WindowsFeedbackHub_1.2401.20253.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.WindowsFeedbackHub/Resources/AppStoreName},@{Microsoft.WindowsFeedbackHub_1.2401.20253.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.WindowsFeedbackHub/Resources/AppStoreName},"ドメイン, プライベート",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
@{Microsoft.XboxGamingOverlay_2.624.1111.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.XboxGamingOverlay/resources/GameBar},@{Microsoft.XboxGamingOverlay_2.624.1111.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.XboxGamingOverlay/resources/GameBar},"ドメイン, プライベート, パブリック",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
@{Microsoft.ZuneMusic_11.2312.8.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.ZuneMusic/Resources/AppStoreName},@{Microsoft.ZuneMusic_11.2312.8.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.ZuneMusic/Resources/AppStoreName},"ドメイン, プライベート",有効,受信,許可,任意,任意,任意,任意,任意,任意,任意,任意
Microsoft Teams,{78E1CD88-49E3-476E-B926-580E596AD309},"すべて",有効,受信,許可,C:\Program Files\WindowsApps\MSTeams_26032.208.4399.5_x64__8wekyb3d8bbwe\ms-teams.exe,任意,任意,任意,任意,TCP,任意,任意
Microsoft Teams,{78E1CD88-49E3-476E-B926-580E596AD309},"すべて",有効,受信,許可,C:\Program Files\WindowsApps\MSTeams_26032.208.4399.5_x64__8wekyb3d8bbwe\ms-teams.exe,任意,任意,任意,任意,UDP,任意,任意
Microsoft Teams,{78E1CD88-49E3-476E-B926-580E596AD309},"すべて",有効,受信,許可,C:\Program Files\WindowsApps\MSTeams_26032.208.4399.5_x64__8wekyb3d8bbwe\ms-teams.exe,任意,任意,任意,任意,UDP,任意,任意
