"DisplayName","StartMode","StartName","Description"
"Adobe Acrobat Update Service","Auto","LocalSystem","Adobe Acrobat Updater keeps your Adobe software up to date."
"AdobeUpdateService","Auto","LocalSystem",
"集計データ プラットフォーム サービス","Manual","NT AUTHORITY\LocalService","このサービスは、集計データ プラットフォームのシナリオに使用されます。"
"Application Layer Gateway Service","Manual","NT AUTHORITY\LocalService","インターネット接続共有に使用する、サード パーティのプロトコル プラグイン用のサポートを提供します。"
"Application Identity","Manual","NT Authority\LocalService","アプリケーションの ID を判定および検証します。このサービスを無効にすると、AppLocker が適用されなくなります。"
"Application Information","Manual","LocalSystem","追加の管理者特権による対話型アプリケーションの実行を容易にします。このサービスが停止されると、ユーザー タスクの実行に必要となる可能性のある追加の管理者特権でアプリケーションを起動することはできません。"
"Application Management","Manual","LocalSystem","グループ ポリシーで展開されるソフトウェアに対する、プロセスのインストール、削除および列挙の要求です。サービスが無効な場合、ユーザーはグループ ポリシーで展開されるソフトウェアをインストール、削除または列挙することができません。また、明示的にこのサービスに依存しているサービスを開始することもできません。"
"App Readiness","Manual","LocalSystem","ユーザーがこの PC に初めてサインインしたときや新しいアプリを追加したときにアプリを使用できるよう準備します。"
"Microsoft App-V Client","Disabled","LocalSystem","Manages App-V users and virtual applications"
"AppX Deployment Service (AppXSVC)","Auto","LocalSystem","Microsoft Store アプリケーションを展開するためのインフラストラクチャ サポートを提供します。このサービスはオンデマンドで開始されます。無効にすると、Microsoft Store アプリケーションはシステムに展開されなくなり、正しく動作しない可能性があります。"
"Windows 仮想オーディオ デバイス プロキシ サービス","Manual","NT AUTHORITY\LocalService","Windows ベースのプログラムの仮想オーディオ デバイスを管理します。 このサービスが停止している場合、仮想オーディオ デバイスは正しく機能しません。 このサービスを無効にすると、このサービスに明示的に依存しているサービスは開始できなくなります"
"AssignedAccessManager サービス","Manual","LocalSystem","AssignedAccessManager サービスは、Windows でのキオスク エクスペリエンスをサポートします。"
"Windows Audio Endpoint Builder","Auto","LocalSystem","Windows Audio サービスのオーディオ デバイスを管理します。このサービスが停止している場合、オーディオ デバイスと効果は適切に機能しません。このサービスが無効な場合、このサービスに明示的に依存しているすべてのサービスは開始できなくなります。"
"Windows Audio","Auto","NT AUTHORITY\LocalService","Windows ベースのプログラムのオーディオを管理します。サービスが停止されると、オーディオ デバイスと効果は適切に機能しません。このサービスが無効にされると、これに明示的に依存するサービスは起動できなくなります"
"携帯電話の時間","Manual","NT AUTHORITY\LocalService","このサービスは、モバイル ネットワークから取得した NITZ メッセージに基づいて時刻を設定します"
"ActiveX Installer (AxInstSV)","Manual","LocalSystem","インターネットからの ActiveX コントロールのインストールに対し、ユーザー アカウント制御により検証を行い、グループ ポリシー設定に基づいて ActiveX コントロールのインストールを管理します。このサービスはオンデマンドで開始され、無効になっている場合、ActiveX コントロールのインストールはブラウザーの既定の設定に従って行われます。"
"BitLocker Drive Encryption Service","Manual","localSystem","BDESVC は、BitLocker ドライブ暗号化サービスをホストします。BitLocker ドライブ暗号化では、オペレーティング システムの安全なスタートアップ、および OS のボリューム、固定ボリューム、またはリムーバブル ボリュームの完全な暗号化を行うことができます。このサービスを使用すると、ボリュームのマウント時に BitLocker でボリュームに関連するさまざまなアクションのメッセージをユーザーに対して表示したり、ユーザーに確認せずにボリュームのロックを自動的に解除したりできます。また、回復情報が存在する場合は、Active Directory に保存します。さらに、必要に応じて、最新の回復証明書を使用します。サービスを停止または無効にすると、ユーザーはこの機能を利用できなくなります。"
"Base Filtering Engine","Auto","NT AUTHORITY\LocalService","ベース フィルター エンジン (BFE) は、ファイアウォールとインターネット プロトコル セキュリティ (IPsec) ポリシーを管理し、ユーザー モード フィルターリングを実装するサービスです。BFE サービスを停止または無効にすると、システムのセキュリティが大幅に低下すると共に、IPsec 管理とファイアウォール アプリケーションの予測不能な動作の原因となります。"
